iteration,temps_calcul,temps_affichage,temps_iteration,longueur,discretisation,vent,start,nombre_de_processus,nombre_de_coeurs,accel_global,accel_temp
672,0.0,0.0,27.68131919996813,10,75,"(2, 3)","(15, 10)",1,1,1.0,
672,0.0,0.0,42.715560999989975,10,75,"(2, 3)","(15, 10)",2,1,0.6480382921805622,
672,0.0010020732879638,0.0,27.55678070004797,10,75,"(2, 3)","(15, 10)",4,3,1.0045193414018765,0.0
672,0.0,0.0,17.845500900002662,10,75,"(2, 3)","(15, 10)",6,5,1.5511651567014295,
672,0.0010008811950683,0.0,15.584375699982049,10,75,"(2, 3)","(15, 10)",8,7,1.7762225277975052,0.0
576,0.0,0.0,26.4144743999932,10,75,"(2, 3)","(37, 37)",1,1,1.0,
576,0.0,0.0,42.15523030003533,10,75,"(2, 3)","(37, 37)",2,1,0.6266001682825835,
576,0.0,0.0,21.709970299969427,10,75,"(2, 3)","(37, 37)",4,3,1.2166978597861278,
576,0.0,0.0011873245239257,11.279880400048569,10,75,"(2, 3)","(37, 37)",6,5,2.3417335524124407,
576,0.0010027885437011,0.0,9.652288100041917,10,75,"(2, 3)","(37, 37)",8,7,2.7366023606235386,0.0
608,0.0,0.0,25.58259539998835,10,75,"(2, 3)","(50, 50)",1,1,1.0,
608,0.0010015964508056,0.0,41.93563720001839,10,75,"(2, 3)","(50, 50)",2,1,0.6100442751821863,0.0
608,0.0,0.0,26.5280330000096,10,75,"(2, 3)","(50, 50)",4,3,0.9643608103163582,
608,0.0,0.0,17.088776000018697,10,75,"(2, 3)","(50, 50)",6,5,1.497040829604201,
608,0.0,0.0,10.766496199998072,10,75,"(2, 3)","(50, 50)",8,7,2.376130072845141,
704,0.0,0.0,44.23560719995294,10,100,"(1, 1)","(1, 50)",1,1,1.0,
704,0.0,0.0,64.50372159999097,10,100,"(1, 1)","(1, 50)",2,1,0.6857837982476833,
704,0.0,0.0,42.06379990000278,10,100,"(1, 1)","(1, 50)",4,3,1.0516312673869965,
704,0.0,0.0,39.05952809995506,10,100,"(1, 1)","(1, 50)",6,5,1.1325177069920573,
704,0.0,0.0,29.505562900041696,10,100,"(1, 1)","(1, 50)",8,7,1.4992293944641344,
704,0.0,0.0,45.194808500004,10,100,"(1, 1)","(15, 10)",1,1,1.0,
704,0.0,0.0,77.78066010004841,10,100,"(1, 1)","(15, 10)",2,1,0.5810545763158916,
704,0.0,0.0,52.86330140003702,10,100,"(1, 1)","(15, 10)",4,3,0.8549373062797844,
704,0.0015070438385009,0.0,32.10810720000882,10,100,"(1, 1)","(15, 10)",6,5,1.4075824594229458,0.0
704,0.0,0.0,23.49871160002658,10,100,"(1, 1)","(15, 10)",8,7,1.9232887857542316,
672,0.0010206699371337,0.0,46.99945580004714,10,100,"(1, 1)","(37, 37)",1,1,1.0,1.0
672,0.0,0.0,77.25293610000517,10,100,"(1, 1)","(37, 37)",2,1,0.6083840715025457,inf
608,0.0,0.0,47.96618449996458,10,100,"(1, 1)","(37, 37)",4,3,0.9798456202010782,inf
672,0.0,0.0,29.555920299957503,10,100,"(1, 1)","(37, 37)",6,5,1.5901875266633032,inf
672,0.000504732131958,0.0,26.018095000006724,10,100,"(1, 1)","(37, 37)",8,7,1.806414182131128,2.0222012281529014
608,0.0,0.0005030632019042,45.296961900021415,10,100,"(1, 1)","(50, 50)",1,1,1.0,
608,0.0,0.0,76.19957100000465,10,100,"(1, 1)","(50, 50)",2,1,0.5944516656139527,
608,0.0,0.0,45.82610750000458,10,100,"(1, 1)","(50, 50)",4,3,0.9884531846833573,
608,0.0009999275207519,0.0,27.58788900001673,10,100,"(1, 1)","(50, 50)",6,5,1.6419147510704406,0.0
608,0.0,0.0,21.63779619999696,10,100,"(1, 1)","(50, 50)",8,7,2.093418455435299,
704,0.0,0.0,47.21216350002214,10,100,"(2, 3)","(1, 50)",1,1,1.0,
704,0.0,0.0,55.16793629998574,10,100,"(2, 3)","(1, 50)",2,1,0.8557899146942415,
704,0.0,0.0,33.98255730001256,10,100,"(2, 3)","(1, 50)",4,3,1.38930578658966,
704,0.0,0.0,26.321136499987915,10,100,"(2, 3)","(1, 50)",6,5,1.7936977569355268,
704,0.001002550125122,0.0,21.679464099986944,10,100,"(2, 3)","(1, 50)",8,7,2.1777366489446837,0.0
704,0.0015094280242919,0.0,45.07783789996756,10,100,"(2, 3)","(15, 10)",1,1,1.0,1.0
704,0.0,0.0,52.741622899950016,10,100,"(2, 3)","(15, 10)",2,1,0.8546919002754139,inf
704,0.0010015964508056,0.0,31.98435090004932,10,100,"(2, 3)","(15, 10)",4,3,1.4093716655634256,1.507022137586293
704,0.0,0.0,23.76228979998268,10,100,"(2, 3)","(15, 10)",6,5,1.8970325789057763,inf
704,0.0,0.0010020732879638,23.253297599963844,10,100,"(2, 3)","(15, 10)",8,7,1.9385567877494354,inf
672,0.0,0.0,47.19488350005122,10,100,"(2, 3)","(37, 37)",1,1,1.0,
672,0.0,0.0,55.07278769998811,10,100,"(2, 3)","(37, 37)",2,1,0.8569546861718316,
672,0.0,0.0,31.06742929999018,10,100,"(2, 3)","(37, 37)",4,3,1.5191113189421868,
672,0.0,0.0,23.94630399998277,10,100,"(2, 3)","(37, 37)",6,5,1.9708629565583555,
672,0.0,0.0010046958923339,21.241236899979413,10,100,"(2, 3)","(37, 37)",8,7,2.221851944040837,
608,0.0,0.0,46.38047209999058,10,100,"(2, 3)","(50, 50)",1,1,1.0,
608,0.0010037422180175,0.0,55.11360050004441,10,100,"(2, 3)","(50, 50)",2,1,0.8415431341661883,0.0
608,0.0,0.0010099411010742,29.13517679995857,10,100,"(2, 3)","(50, 50)",4,3,1.5919063206116029,
608,0.0,0.0,22.35945420002099,10,100,"(2, 3)","(50, 50)",6,5,2.0743114606056454,
608,0.0,0.0,21.758779699972365,10,100,"(2, 3)","(50, 50)",8,7,2.131575057954628,
